Name,SITE_NAME,Longitude,Latitude
198,Super_One,14.49598333,35.87266944
203,Seminary,14.40234863,35.87364611
204,Bellavista,14.560518,35.864907
205,Kirkop,14.485822,35.842306
206,Mellieha_Invictus,14.36720024,35.95428463
207,Santa_Margerita,14.431496,35.918281
209,Gharb,14.201711,36.061134
210,Valletta_TalKarmnu,14.51221,35.900024
211,Qormi_3,14.471625,35.87900278
212,Zebbug_Cortis,14.439446,35.878558
213,Dingli_Radar,14.3816,35.852281
215,Skyparks,14.494279,35.851257
216,Wardija_3,14.39686,35.94005
217,Zebbug_5,14.440003,35.8749
219,Hal_Far_2,14.501206,35.818539
220,Siggiewi_Nikolaos,14.442185,35.857934
221,Freeport,14.53144677,35.81716526
222,Benghisa_2,14.52691,35.81912
223,Siggiewi_Sunrise ,14.43596,35.852729
225,Curia,14.50309888,35.89320102
226,Siggiewi_3_relo,14.44449881,35.85935067
227,UHM,14.505647,35.891399
228,Naxxar_HilltopGardens,14.44744642,35.91176516
230,Qormi_Church,14.476789,35.877194
231,Bahrija_relo,14.34780071,35.89553252
232,MTX_2,14.476055,35.885936
233,Zurrieq_3,14.47403611,35.82940556
234,Brandstatter,14.50606509,35.81338507
235,Ramla_COP,14.288571,36.059199
237,BKara_Amrita,14.47298965,35.90049282
239,Swatar,14.476828,35.898319
240,Mosta_Ground,14.434993,35.905062
241,Mosta_5,14.420948,35.90404
242,Balluta_Hotel,14.49302688,35.91404895
243,Balzan_Church,14.451394,35.8987
244,Gzira_Pool,14.486989,35.903239
245,Zabbar_3,14.540647,35.885795
247,Tarxien_2,14.51194444,35.86749722
249,Victoria_Anici,14.242378,36.039147
251,Rabat_Nigret,14.39431,35.88303
252,Birkirkara_Centre,14.463303,35.900639
253,Ta_Cenc2,14.249197,36.020428
254,Attard_Centre,14.44299602,35.890503
255,Mosta_6,14.430673,35.910857
256,Bugibba_Carolina,14.41173056,35.95158889
257,Zebbug_IndEst,14.452548,35.872704
258,Gzira_STBusiness,14.49805839,35.90707369
260,Dingli_Radar Extended,14.38171,35.85239
261,Handaq,14.467902,35.869194
263,HalFar_Sterling,14.51246944,35.81056111
264,Mosta_VCT,14.43057,35.90701
265,Zabbar_Occas,14.544588,35.876368
266,SanGwann_Hometrends,14.46891075,35.90561396
267,Qrendi,14.457339,35.834435
268,Safi,14.483986,35.833217
269,Zejtun_BandClub,14.53274,35.85519
271,Pembroke_2,14.481508,35.928155
272,Gharghur_Village,14.453263,35.923287
273,Vittoriosa_Church,14.522083,35.887003
274,Vittoriosa_2,14.527583,35.881389
275,Sliema_Savoy,14.497375,35.910028
276,Gzira_Stivala,14.49484317,35.90554553
277,Electrogas_COP,14.55819982,35.83361279
278,YMCA,14.517015,35.898981
279,BKara_Akwadott,14.464156,35.892381
281,Armier_TatTrux,14.34341,35.977643
284,Kompakt,14.484129,35.881229
286,StVenera_Wignacourt,14.47819394,35.88927262
288,Sliema_Tigne,14.508569,35.908163
289,Qormi_6,14.4715,35.882
290,Eden_2,14.487903,35.923161
292,Manoel_Island,14.500631,35.9051
293,St_Julians_Church,14.489723,35.917704
294,Msida_Circus,14.485775,35.900261
296,St_Venera_2,14.483688,35.889549
299,Tarxien_Skyline,14.51416445,35.87021938
300,Attard_Mount_Carmel,14.43185,35.88434
301,St.Julians_Bridge,14.48689975,35.91718752
302,Kappara_2,14.485278,35.908556
303,Marsa_Dicembru,14.48939,35.881561
305,Sliema_Patricia,14.49969,35.91524
306,Sliema_SanGirgor,14.49842354,35.91243071
307,Kappara_StJoseph,14.4791846,35.90718265
309,Tigne_Midi,14.510882,35.906847
310,TaXbiex_2,14.49814923,35.89970802
311,Marsaxlokk_Seashell,14.541429,35.840942
313,Osborne_Hotel,14.508949,35.898653
314,Qawra_Point,14.420729,35.95542
315,Sghajtar_1,14.44161,35.91103
316,Iklin,14.4542,35.90568
317,Kirkop_ST,14.484424,35.847603
318,BKara_Retail,14.46081389,35.90352222
319,Mellieha_Mansions,14.369474,35.955398
320,Mellieha_Solana,14.36250874,35.9571629
321,Mellieha_Victory,14.36479325,35.95575953
323,Luqa_Church,14.488928,35.860342
324,Mgarr_Gozo_2,14.29875,36.027889
325,Rinella_2,14.52883358,35.8921597
326,Zebbug_KazinSanFilep,14.44126543,35.87187695
327,Belt_Is_Sebh,14.50385277,35.89490816
330,Naxxar_3,14.4424382,35.92106449
